fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_004,179967,2024-11-13 20:00:00,2024-11-13 20:45:00,1,-1.796325,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21142.14,21173.53,21119.31,21173.53,30.19,10,target,32.13,19.75,1.2
rw_004,179979,2024-11-13 21:00:00,2024-11-13 21:05:00,1,-1.749182,long|phase_trigger|compression_low|trigger_firm|fresh_new|low_decay|late_session,21170.89,21150.74,21150.74,21198.6,-21.35,2,stop,0.63,31.37,1.2
rw_004,180092,2024-11-14 07:25:00,2024-11-14 07:35:00,-1,-1.962117,short|phase_early_confirmation|compression_high|trigger_soft|fresh_new|low_decay|early_session,21032.57,21038.63,21038.63,21024.24,-7.46,3,stop,2.75,7.25,1.4
rw_004,180098,2024-11-14 07:55:00,2024-11-14 08:00:00,-1,-1.972056,short|phase_early_confirmation|compression_high|trigger_soft|fresh_fresh|low_decay|early_session,21032.07,21038.1,21038.1,21023.78,-7.43,2,stop,1.0,8.75,1.4
rw_004,180110,2024-11-14 08:55:00,2024-11-14 09:00:00,-1,-1.969762,short|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|europe_morning,21021.82,21013.85,21027.62,21013.85,6.57,2,target,12.63,0.0,1.4
rw_004,180135,2024-11-14 11:00:00,2024-11-14 11:00:00,1,-1.95364,long|phase_early_confirmation|compression_high|trigger_soft|fresh_fresh|low_decay|europe_morning,21081.44,21090.62,21074.77,21090.62,7.78,1,target,21.5,2.0,1.4
rw_004,180197,2024-11-14 16:10:00,2024-11-14 16:10:00,-1,-1.964814,short|phase_early_confirmation|compression_mid|trigger_soft|fresh_fresh|low_decay|us_overlap,21045.69,21055.17,21055.17,21032.65,-10.88,1,stop,0.25,14.0,1.4
rw_004,180211,2024-11-14 17:20:00,2024-11-14 17:20:00,-1,-1.969092,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,20957.29,20971.0,20971.0,20938.44,-14.91,1,stop,0.0,32.25,1.2
rw_004,180241,2024-11-14 19:50:00,2024-11-14 19:50:00,-1,-1.818834,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,20938.04,20959.04,20959.04,20909.16,-22.2,1,stop,4.75,55.88,1.2
rw_004,180255,2024-11-14 21:00:00,2024-11-14 21:00:00,-1,-1.798925,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,20943.04,20963.98,20963.98,20914.25,-22.14,1,stop,2.5,56.88,1.2
rw_004,180473,2024-11-15 16:10:00,2024-11-15 16:15:00,-1,-1.950283,short|phase_trigger|compression_mid|trigger_strong|fresh_new|low_decay|us_overlap,20715.92,20703.22,20725.16,20703.22,11.3,2,target,34.0,4.63,1.4
